customer_id,gender,age,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,contract,monthly_charges,total_charges,churn
52b1d84b-2bad-4528-a8c1-c4ba8cfeb412,Female,24,0,No,Yes,DSL,Yes,No,Yes,No,Month-to-month,53.18,6438.63,No
7df5421c-8a95-4cd5-98e8-450252bf38f5,Non-binary,54,26,Yes,Yes,No,No,No,No internet service,Yes,Two year,40.95,4350.93,No
ebce1b5c-8712-4f8b-813a-5302fb9cb5f2,Female,29,57,Yes,No phone service,No,No,Yes,No,Yes,One year,41.04,2959.12,No
7fcb944b-c804-4d29-90c4-35f4f18a263a,Male,27,9,No,No phone service,Fiber optic,No,Yes,Yes,Yes,One year,110.98,7206.79,Yes
370dcdb7-f606-4127-b5d3-a690c6f65f01,Non-binary,23,2,Yes,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,107.49,9004.08,No
cb5de2e2-ec9a-441c-8cfa-a2545139b799,Non-binary,49,56,No,No,Fiber optic,No internet service,No internet service,Yes,No,Month-to-month,100.57,526.1,No
ba41fabf-08c0-4800-aac3-11536a6eb2df,Female,21,15,No,No,DSL,,No,No,No,Month-to-month,84.41,5796.85,Yes
15ad1cae-beb0-4936-b188-58a140b290bc,Non-binary,48,52,No,Yes,No,Yes,No,Yes,Yes,Two year,86.71,3390.74,Yes
fdb81226-c643-489a-b1ec-c5bef0bad6b5,Male,66,27,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,Month-to-month,36.51,4683.27,Yes
2dd2abe7-dcca-445b-9b88-983f91267c78,Female,56,29,No,No phone service,No,No internet service,Yes,No,Yes,Two year,90.68,406.28,No
fbd4e146-acb8-4ce0-b7a6-8fd092cd1a3f,Female,36,52,Yes,Yes,DSL,Yes,No,Yes,No,Month-to-month,75.48,3907.36,Yes
5410fa6b-bc5f-49ce-8d05-9804925fe1fa,Non-binary,34,57,Yes,Yes,DSL,No internet service,No,No,No,One year,101.28,8145.64,No
11f80b1a-9c5f-4fdd-8859-4b5d764aa870,Non-binary,46,36,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,One year,102.63,3053.23,No
a3e62cca-aa15-4381-b41e-673e8c3497b3,Non-binary,58,42,No,No,No,Yes,No,Yes,No internet service,One year,128.67,9248.0,No
ea46ce5a-2d21-47f7-b6d2-18e2ade69039,Female,34,71,Yes,No,DSL,Yes,No internet service,No,Yes,One year,119.19,4703.46,No
bb665bdc-cfd5-41d4-bc2a-0f2a1af885f7,Male,30,4,No,No phone service,DSL,Yes,No,Yes,,One year,80.77,5217.1,No
dddb941f-070d-4bed-94fa-83503bdc425a,Female,68,29,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,One year,102.48,8366.01,Yes
ddae1587-8806-4dcd-a187-59e96c3ac8ef,Non-binary,57,8,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,Two year,57.9,1488.06,Yes
581b39bb-ffe3-4940-9ccc-6d1fb25c6358,Male,22,63,No,Yes,No,Yes,,No,No internet service,Two year,95.54,5009.33,Yes
a4d5c39c-15c8-4b09-b9b6-7c445b2fffeb,Non-binary,24,46,Yes,No,No,Yes,No internet service,No,Yes,Month-to-month,106.81,8287.98,No
7bd1500b-ecc5-46b6-ae14-5d3a03013493,Female,19,68,No,No,DSL,Yes,No internet service,Yes,No internet service,One year,62.32,2453.44,No
2c84140b-9a12-4936-a318-8af2e3056aa6,Male,53,43,No,No,No,Yes,No internet service,No internet service,No,Month-to-month,69.19,2383.8,Yes
205335d9-e78d-40cf-8919-c14843dae5e7,Female,22,52,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,Month-to-month,47.82,5483.37,No
f2679d6f-2cc6-4b64-a432-d52fc89558ab,Female,30,40,No,No,DSL,No,Yes,Yes,Yes,One year,104.66,4374.59,Yes
194e27e2-e32f-491b-a512-5bb4a6d3a7a0,Male,41,6,No,No,No,Yes,,Yes,No internet service,Month-to-month,125.55,3134.82,Yes
fd574ee6-db23-42be-9bfa-aeaadd099f9b,Female,63,27,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Two year,120.73,511.71,No
204d3ba7-6d23-44d6-bb93-2bc08cbcfb46,Female,46,16,No,No phone service,DSL,Yes,Yes,No internet service,Yes,Two year,44.13,644.13,Yes
17790194-46d8-42c9-8bf2-eb5a911c48af,Male,45,28,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,One year,47.33,4006.85,No
f8d9703f-a393-4fe7-a2f1-e3c99d6a3155,Female,30,42,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Month-to-month,79.17,282.13,No
4e1ed692-62bc-48bc-a1df-6c405d987777,Non-binary,64,1,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Month-to-month,31.97,8786.28,Yes
9bcb2919-527d-440c-87d1-b42cc46bceb5,Non-binary,25,39,No,No phone service,No,No internet service,,Yes,Yes,One year,118.11,7521.14,Yes
fb80825e-e569-4d8e-b0c3-6767d5ea7294,Non-binary,39,72,No,Yes,No,Yes,No,Yes,Yes,One year,36.1,7644.43,No
53859a39-52c0-4908-8326-4b426f0b55fb,Male,31,44,No,Yes,DSL,Yes,No,No,Yes,One year,46.48,8309.42,No
1333d025-8236-4eff-a810-be7988f2ebd5,Male,56,71,Yes,Yes,DSL,No,Yes,Yes,Yes,Month-to-month,33.57,3606.59,No
eeeb6c56-9309-40a8-b9a8-7ed79c5e6e46,Female,18,3,Yes,No phone service,Fiber optic,,No,Yes,Yes,One year,115.34,3098.09,No
ec442aec-e790-430c-b2db-924136e589bf,Non-binary,57,3,Yes,Yes,Fiber optic,No internet service,No,No,Yes,One year,91.63,3847.36,Yes
fa24c3f4-6b89-4931-85f9-a59d79526621,Non-binary,22,43,Yes,No,DSL,No,No,No,No internet service,Two year,53.29,3127.47,No
7917dd9d-aa67-495c-aa01-eb7761a8850c,Male,25,2,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Two year,49.41,1678.01,Yes
d1904722-ebd5-41ae-b9f8-1ab38bc89cf8,Male,20,30,Yes,No,Fiber optic,No internet service,No internet service,Yes,,Two year,67.22,613.25,No
c42e47f7-f036-4cbf-b019-596997259d58,Non-binary,33,1,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Month-to-month,88.34,3530.11,Yes
e52b560b-be2d-4a48-848d-2bc5dc4ad840,Female,31,17,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Month-to-month,90.77,889.48,No
c533c80a-c5d4-4a35-8845-4ac408dff850,Female,28,0,Yes,No phone service,No,No internet service,Yes,No,No,One year,74.07,4273.59,No
e9d9b863-fed1-4ce1-b286-313031771e3b,Female,39,37,No,Yes,No,Yes,No,Yes,No,Month-to-month,126.53,4210.14,No
3f1660d6-d3bf-4163-b876-4ce68932d448,Non-binary,47,48,No,No phone service,DSL,Yes,No,No,Yes,One year,50.39,2091.7,No
862051c4-b109-4c1d-8f7f-c2a65a339874,Female,42,52,Yes,No,No,No,Yes,Yes,Yes,One year,63.43,9326.68,No
543c7e8e-6d94-478d-b581-092378157e0e,Non-binary,22,19,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Month-to-month,84.23,956.9,Yes
75760d68-f679-48a6-ace8-82c25db9434f,Female,57,42,No,No phone service,No,Yes,,No,No internet service,Two year,31.6,2383.58,No
d4a51004-066b-4439-9f29-0b824ad021a1,Female,51,37,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,One year,105.63,5786.62,Yes
3e79f9c5-580d-4b24-9184-09abba9b2213,Female,66,63,No,No,No,No internet service,No internet service,No,No internet service,Two year,86.52,7593.17,No
b78c7601-cbb4-4aee-92e4-e93527ce4f46,Non-binary,41,16,Yes,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,106.17,6375.67,Yes
b5a2bb94-11f5-4a70-8d82-214928c6bc50,Female,46,16,No,Yes,No,No,No,,Yes,One year,61.3,4559.67,Yes
524c3b43-a1e7-4389-9c6c-c5dc3d7c8e42,Non-binary,42,16,Yes,Yes,Fiber optic,Yes,,Yes,No,Month-to-month,87.98,4218.84,Yes
a51ad39d-d849-4cd5-b957-4c712f344242,Male,37,46,No,No phone service,No,No,No internet service,No internet service,No,Two year,128.9,3142.32,Yes
1bc9dffd-0a4e-495b-be4b-19e73d34956a,Female,42,10,Yes,Yes,DSL,No,Yes,Yes,No,One year,66.9,5371.73,Yes
f341fe78-d0ec-4ec7-bb6a-1467a688345b,Male,55,53,Yes,No,DSL,Yes,Yes,Yes,No internet service,Two year,65.11,9131.28,No
df0e353f-4c10-4fdb-a0ec-2e2128b3e672,Male,65,9,Yes,No,Fiber optic,No,No,No internet service,No internet service,One year,31.63,4381.06,Yes
aaacc004-8afc-4695-abc8-c5892e919adf,Non-binary,65,39,No,No,DSL,Yes,Yes,No,No,Two year,75.62,135.71,No
96a8b81d-4108-4910-9400-3856f1ba51c4,Female,43,7,No,No phone service,DSL,,No,Yes,Yes,One year,71.91,4215.42,No
fd169e70-2968-4407-ad48-c2091479db50,Male,57,12,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,One year,120.8,8865.62,No
93ad9a57-e98a-463e-8271-2dcd80570f2f,Female,36,35,Yes,Yes,No,No internet service,No,No internet service,No,One year,39.58,2834.41,Yes
d46c8e39-f219-4fbb-a4e1-621e1824213d,Female,50,63,Yes,Yes,No,Yes,No internet service,Yes,No,Two year,41.31,4976.98,No
65fda3d8-41a1-4fa7-93ae-db19fe3321c9,Female,25,22,No,No phone service,No,Yes,Yes,No internet service,No,One year,81.05,3519.33,Yes
87ca9e44-2ca5-4366-8360-949a7a76e5d9,Non-binary,27,43,Yes,No,No,Yes,,No internet service,,Month-to-month,56.72,7876.44,Yes
cd2e2511-6962-4824-9507-cfb41698a43c,Female,66,17,No,No,DSL,No internet service,No internet service,No,Yes,Two year,66.1,6708.96,Yes
d9b5f36b-0ab0-42ff-bee3-6dd11e939d05,Male,68,55,No,Yes,No,No,No internet service,No,No,Month-to-month,96.38,5631.17,No
7655961c-17da-4c73-b067-32f2c1b224c6,Female,62,60,No,No,DSL,No internet service,No internet service,No,No,Two year,30.67,8548.12,Yes
0138fcee-f84c-4522-a4da-db7f9ff35cc6,Male,39,24,Yes,No phone service,No,Yes,No internet service,Yes,Yes,One year,120.65,6017.36,Yes
6dc9cc57-0e75-4fe2-84f4-004287c7e2f9,Non-binary,63,61,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,,One year,38.18,1986.61,Yes
f6d85929-7eea-4b60-bc64-bbd7af095fd4,Non-binary,42,60,No,No,No,Yes,No,Yes,Yes,Month-to-month,119.98,4261.0,Yes
56d91560-e202-4d18-a4bc-5522558d0f29,Non-binary,22,35,Yes,Yes,No,Yes,No,No,No internet service,Month-to-month,110.37,939.86,Yes
e82dc83e-28e6-43e8-8534-640e7d784f96,Female,58,65,No,No,Fiber optic,No,Yes,No internet service,No internet service,Two year,106.7,6151.29,No
384429bb-22f7-4a47-9550-a4849185cf59,Male,51,37,Yes,Yes,Fiber optic,No,No,No,Yes,One year,121.01,4030.55,Yes
eb97ee6c-07ca-47ee-bc94-05594a860906,Female,22,51,Yes,No,No,No,No,Yes,No internet service,Month-to-month,52.91,3151.71,Yes
dc7824d3-5102-4621-8f44-2525237a0859,Female,21,34,No,No phone service,Fiber optic,No internet service,No,No,No internet service,Month-to-month,78.28,3149.49,Yes
d581f55d-1357-456e-8525-4b83135ff7a7,Non-binary,54,33,Yes,No phone service,DSL,Yes,No,No,No,One year,83.79,2214.877406467868,Yes
ee5d8f27-c9f9-4b36-ab94-185daf8a84c2,Male,28,15,No,Yes,DSL,No internet service,No internet service,No internet service,No,Two year,46.08,4205.97,No
fc1d15cf-c8cf-4b47-ae3a-fa4a6e248115,Female,39,2,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Month-to-month,33.48,1314.03,Yes
9a376355-39ad-4fea-8932-742ebd7a562a,Female,25,43,No,Yes,Fiber optic,,,No internet service,Yes,Two year,77.26,3150.17,No
ddc12e81-8604-4bb7-8506-2a6fad20905c,Non-binary,27,62,Yes,No phone service,No,No internet service,No internet service,Yes,No,Two year,34.98,4101.4,Yes
e186db6a-6d59-412b-987e-2cc58e346609,Female,44,56,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,One year,122.52,1999.62,Yes
ce880a02-34f1-4478-8b55-c9c0a6b1b430,Non-binary,68,69,No,No phone service,No,Yes,Yes,Yes,No internet service,Month-to-month,76.56,4842.64,Yes
d33c0072-92bc-4949-bf7e-f6efa6b5d2e7,Non-binary,62,12,No,No,DSL,Yes,No internet service,No internet service,Yes,One year,46.47,1539.73,Yes
86ae97cf-2526-471c-8747-9f4616d2786d,Female,70,51,Yes,No phone service,No,No internet service,No internet service,No,,Two year,86.87,7454.03,No
b1df29f9-caa9-45ef-960a-033dadc57b9a,Female,29,35,Yes,No phone service,DSL,Yes,No internet service,,No internet service,Month-to-month,35.59,4105.16,Yes
cdd8e189-cf93-4bab-a5ee-832012e0a3d4,Non-binary,66,62,Yes,No phone service,DSL,No internet service,Yes,No internet service,,Two year,124.47,8020.49,Yes
a8f7dae3-7e3e-4996-a6a8-6a43fc28f464,Non-binary,30,27,Yes,No,Fiber optic,No internet service,No,No,Yes,One year,118.37,5866.77,Yes
2fb22bdc-0e20-4cd8-b2aa-d0834676bf2b,Male,36,57,No,Yes,DSL,No,No internet service,No internet service,No,One year,99.33,5850.68,Yes
181b1758-92c8-447e-addf-5e66261f1c11,Male,63,71,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Month-to-month,34.02,441.76,Yes
47751eb7-bab0-4f23-b134-d003fd94202f,Non-binary,22,58,Yes,No phone service,DSL,No,Yes,No,Yes,One year,60.61,368.24,Yes
f1f02ee3-de61-4891-9633-3e3853034546,Female,19,38,No,No,Fiber optic,No internet service,,No internet service,No,Two year,86.12,3511.03,No
09171f3a-7522-4f9f-8d42-8c5f4e75b31a,Non-binary,55,37,Yes,No phone service,No,No,Yes,No,No internet service,Two year,116.16,2803.84,Yes
10190e1b-c745-45dd-a457-2ba7213fd1a7,Non-binary,60,14,Yes,No,No,Yes,No internet service,No,No internet service,Month-to-month,96.28,7318.71,No
4c5d1f42-9950-4fee-b8c8-eb82f7f71ebe,Non-binary,20,54,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,One year,51.51,9298.08,Yes
aadde1eb-46fa-44e6-be9d-a27aec87617e,Female,38,53,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Month-to-month,30.11,6561.85,Yes
f6ebfcef-8adf-4cad-acac-e2093f062ce1,Non-binary,40,50,Yes,No,DSL,No,,No internet service,Yes,Two year,120.31,8142.76,Yes
2cca429f-1b4a-4720-aba4-44c0d447444b,Male,64,46,No,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,72.57,3429.31,Yes
ea9f0448-4db8-438a-bafc-2fd0d0b1e4b8,Female,59,13,No,No,No,No internet service,No,No,No,One year,52.73,722.52,Yes
e64f8cfc-5638-47c4-84d1-8579808ad1b8,Female,43,50,Yes,Yes,DSL,No,No internet service,No,No,One year,46.05,5119.19,Yes
6d75c9a8-ae20-4bde-bc3c-46d88165fd9c,Male,48,25,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Two year,110.54,4402.74,Yes
5145e35a-f6d6-4313-92cf-a0039ff19c3e,Female,46,47,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,One year,127.71,5840.27,No
212c7a60-0cab-4341-ac71-362fedfa4c87,Non-binary,68,48,No,No,Fiber optic,Yes,No,No internet service,No internet service,Two year,118.01,5920.62,Yes
d8f25dbb-f37b-479f-b448-1ca69b497dc2,Male,42,30,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,One year,67.01,7602.23,Yes
0cf7da43-4d19-4798-94c9-6cbd1f19e9bd,Male,61,57,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Month-to-month,110.13,901.04,Yes
34f96ab3-6a27-4813-a1e6-9244886cdbd2,Female,65,14,No,Yes,No,No,Yes,No internet service,No internet service,One year,111.7,7683.37,No
e180a8cc-db53-461a-a35d-eb98635894cf,Non-binary,58,57,No,Yes,DSL,No,No internet service,Yes,,Two year,125.01,652.61,Yes
f957a44b-9b3c-4e84-b401-3d298c5fa71f,Non-binary,31,17,Yes,Yes,DSL,Yes,Yes,,Yes,Month-to-month,66.38,2345.14,No
4a620c22-2add-478d-9c04-85d6c0b4741b,Non-binary,38,30,Yes,No phone service,No,Yes,No internet service,Yes,No,Month-to-month,68.19,8752.84,Yes
141ec3d2-904a-4e09-b8a0-5b1c933999bd,Male,45,36,Yes,No,DSL,No,No internet service,No,No internet service,One year,124.03,3706.019494897841,Yes
4cc5ef38-cdd6-4d5c-aeb5-aee34e1e6c1d,Male,36,6,Yes,Yes,No,No internet service,No,No internet service,No,Two year,58.73,2245.05,No
8ad2e723-9f77-4423-a72d-886b78db87e1,Non-binary,55,38,No,No,DSL,No,Yes,Yes,No internet service,One year,123.29,8138.26,Yes
7487dcf3-8666-415e-b520-bc7dd13c3285,Non-binary,66,15,Yes,Yes,No,Yes,No,Yes,No,Month-to-month,32.55,2126.04,Yes
909cf1d0-07c4-4f3b-b0a9-a9ca53aea43f,Male,33,10,Yes,No phone service,DSL,Yes,No internet service,No,No,Two year,116.59,3469.5,No
79b9aa74-9f15-40ec-9c7b-80cbd7aa9352,Non-binary,50,14,Yes,No,DSL,No internet service,No internet service,No,No internet service,Month-to-month,94.7,9041.37,Yes
db465b7a-6957-4064-a309-484e0fbe8d62,Male,69,37,No,No,Fiber optic,No,No internet service,No internet service,Yes,Two year,110.71,8967.28,Yes
3ecbca48-2afb-4463-bf85-68ffbebeab18,Female,34,46,Yes,No phone service,No,Yes,No,No internet service,Yes,One year,77.5,2935.03,No
f39e2a20-5722-4e8f-aa66-f67f63d59d08,Non-binary,31,51,No,Yes,DSL,Yes,Yes,Yes,No,One year,119.96,5411.71,No
085664d8-b1b1-4a70-88d5-77839c0d606b,Male,21,64,No,No,DSL,Yes,No,Yes,No,Month-to-month,54.83,6302.28,No
35e40d9d-a68a-4e96-a56d-d4af2999d3af,Non-binary,45,41,No,Yes,No,No internet service,No,Yes,No,Month-to-month,63.03,5801.83,Yes
000f459d-dc59-4263-80f3-06e7a6a307de,Non-binary,19,68,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Month-to-month,94.62,6851.751637460138,Yes
3c7c0b9c-1d91-49ac-be73-e88b7da3c86d,Male,41,72,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,Two year,92.12,1382.78,No
beb333ec-8cde-4921-af24-50153d8efff3,Non-binary,37,41,Yes,No,DSL,No internet service,Yes,No internet service,No,One year,75.21,2487.99,Yes
735cfb8e-435f-4796-afe9-b3343a17aebd,Male,60,61,No,Yes,DSL,No internet service,No,Yes,No internet service,Month-to-month,35.76,7378.89,Yes
e8baac50-1782-4d29-abb2-b60b8e3d94d3,Female,33,48,No,Yes,Fiber optic,Yes,No,,Yes,Month-to-month,75.84,141.33,Yes
788c2f3e-cb74-45e8-9719-64cd9a6ab524,Female,26,48,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Month-to-month,51.85,4604.15,Yes
a37c9ab9-a5ac-4468-8666-dd876348f604,Female,49,53,No,Yes,DSL,No,No internet service,No,Yes,One year,64.9,3254.0271891102766,Yes
87f12397-a6fa-418e-b435-32f15813a020,Non-binary,41,48,Yes,No,No,Yes,Yes,No,Yes,Month-to-month,89.51,7278.81,Yes
c68ba63f-6ec1-400e-b318-90808f410c48,Female,56,51,No,Yes,DSL,No,Yes,,No internet service,One year,83.66,6237.04,Yes
f076f2e2-3f3a-42ec-a18e-8d47ddfa74a3,Female,69,58,Yes,No,Fiber optic,No,No,Yes,,Two year,102.32,2408.98,Yes
abe8fafa-f39b-4c19-81c4-fa6ad0c683ad,Non-binary,43,43,Yes,Yes,Fiber optic,Yes,No,No,No,Two year,68.11,4623.7,Yes
705ec5f9-7a04-4911-a008-8ea5aae980f5,Male,46,19,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,One year,127.42,365.26,No
e4381400-1e71-460a-8025-39ff91e34cb8,Male,46,3,No,No phone service,No,No,No,No internet service,No internet service,One year,110.77,6230.48,No
e1c0375d-46aa-4bd8-b655-1356a79b9089,Male,47,44,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,53.7,7595.79,No
1dbea0f8-2057-43b9-8df8-5cdf12fc08c6,Male,48,16,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Two year,69.6,4775.85,Yes
68104bcd-cfe4-4da5-91f2-63659fd53b42,Female,39,9,Yes,No,No,No,No internet service,No,No internet service,Month-to-month,102.62,8776.19,Yes
6c53b55f-b02d-486a-b376-58a1307980b8,Male,38,17,No,No phone service,Fiber optic,,No,No,No,Month-to-month,40.61,7937.37,No
91531c30-273e-422d-b4e4-68daf96363bb,Female,47,56,No,Yes,DSL,No,No,No,No,Month-to-month,117.4,2493.05,No
003ac9c9-646f-4c73-8785-e015a36572ba,Male,68,18,Yes,No phone service,No,Yes,,No internet service,No internet service,One year,66.51,758.22,Yes
fb8a5568-0bcd-42b2-9d1d-4328b9565d76,Non-binary,55,64,Yes,No phone service,DSL,No,No,No,No,Month-to-month,43.52,2069.3,Yes
8690d06a-e48d-41a8-ade8-8ffe5d40c004,Non-binary,56,36,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,Two year,36.88,1747.32,No
4e839a8e-3c95-432d-b055-b28759fcbd91,Male,50,51,No,No,No,No internet service,No,No internet service,No,Month-to-month,45.44,6405.75,Yes
a6715c4d-a795-4534-83b4-7d9b684636f0,Female,31,69,Yes,Yes,DSL,No,Yes,No,No internet service,Two year,80.53,1828.36,Yes
5110b4d4-6bd1-4435-8ee2-d7d37477a40b,Female,39,31,No,No phone service,DSL,,Yes,Yes,No,Month-to-month,93.31,8994.71,No
74fb70e3-8419-4052-825b-b940fb439a67,Female,56,3,No,No,DSL,Yes,No,No,,One year,49.5,8340.67,Yes
470ccba1-589c-4fa9-89c5-e972a6b02b3c,Non-binary,30,6,No,Yes,DSL,Yes,No,Yes,Yes,One year,84.41,2751.97,No
09d22996-4337-4f2d-9c64-1709ac88a7d6,Female,33,25,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Two year,58.01,9275.14,Yes
93e17493-ad03-4277-930b-93ea7933df99,Male,64,41,No,Yes,Fiber optic,Yes,Yes,Yes,No,One year,85.44,8375.29,Yes
df1621d2-3298-4336-8170-c24e2254d7a0,Non-binary,55,66,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Month-to-month,112.39,3397.59,No
32e634f2-5df8-4717-915a-34d2a0c1ce0e,Male,45,10,No,No phone service,No,No,Yes,No,No,Month-to-month,62.64,4524.76,No
f37e0183-6cef-4afe-8f8c-e674fe50ae52,Male,35,6,Yes,Yes,No,No internet service,No,No internet service,No internet service,One year,108.77,6039.87,No
148dea4b-a9a7-4dca-a9ec-9e17a1b93300,Male,46,21,No,Yes,Fiber optic,No,,No,Yes,Month-to-month,78.68,8163.46,No
eef0efa7-4745-495d-91f5-09d04005f2a8,Female,69,56,No,No phone service,No,No,No,No,Yes,Two year,31.8,5804.35,No
2a34a1e0-8351-4f56-b2f1-aec88e58b62f,Non-binary,68,61,Yes,No phone service,DSL,No internet service,,No internet service,Yes,One year,78.98,4930.65,No
d93df650-46d8-412f-8c29-706440ec0d82,Non-binary,42,21,Yes,Yes,DSL,No,No internet service,No,Yes,One year,32.12,8177.95,No
cc0ac814-d147-48f7-8703-bbe2cf2ec8cd,Non-binary,62,63,No,Yes,No,No internet service,No internet service,No,Yes,One year,66.99,1090.51,Yes
03fc94d3-a08c-4fbb-93ea-4082d972b31e,Male,18,36,Yes,Yes,No,No,Yes,Yes,No,One year,80.77,5716.58,Yes
6b3783d9-10ed-4582-a563-fa6b0dd75665,Male,54,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,One year,81.26,9207.72,No
fbfc1ee2-0dd1-4e85-a1dd-fcb9e87abc22,Female,45,47,Yes,No phone service,DSL,No,Yes,Yes,No,Two year,118.1,5135.6,Yes
86b05a76-494b-43c0-a940-2c4a1f8eba05,Male,44,52,Yes,Yes,Fiber optic,No,No,No,Yes,One year,49.39,3958.81,No
53cd36ed-fb63-4901-be29-fa2c8d446a43,Female,41,58,No,No,No,Yes,,No,No,Month-to-month,89.96,115.58,Yes
482f24d5-5594-4587-beae-c9a8e71de4a3,Non-binary,34,64,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,Two year,82.08,6419.84,Yes
ff8137d2-304a-46a5-89f7-2734ea0bd904,Non-binary,60,19,No,Yes,No,No,No,No internet service,No internet service,One year,60.22,5018.23,Yes
2bc3cbda-c503-44b6-bd67-21c3aa5724a6,Female,60,27,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Month-to-month,108.97,1699.34,Yes
cceec60c-6116-418c-8a7a-53cd888af73a,Female,38,52,Yes,Yes,DSL,No internet service,No,Yes,Yes,Month-to-month,117.94,6930.49,No
9d2d3efc-4208-46d3-926e-332562b098da,Male,26,12,No,No,DSL,,Yes,,Yes,Two year,64.12,6665.94,Yes
